"(10, 0)","(10, 0.25)","(10, 0.5)","(25, 0)","(25, 0.25)","(25, 0.5)","(50, 0)","(50, 0.25)","(50, 0.5)",methods,signal
0.04553375639141016,0.04536600958489096,0.0752091640318652,0.0384925438097266,0.15756886381863394,0.11779873233052922,0.07971021740290823,0.10190396479915127,0.27796038634175946,lasso AIC,sparse
0.04553375639141016,0.04536600958489096,0.0752091640318652,0.0384925438097266,0.15756886381863394,0.11779873233052922,0.07971021740290823,0.10190396479915127,0.27796038634175946,lasso BIC,sparse
0.04553375639141016,0.04536600958489096,0.0752091640318652,0.0384925438097266,0.15756886381863394,0.11779873233052922,0.07971021740290823,0.10190396479915127,0.27796038634175946,lasso LOO-CV,sparse
0.04553375639141018,0.04536600958489097,0.07520916403186521,0.03849254380972661,0.15756886381863394,0.11779873233052922,0.07971021740290823,0.10190396479915126,0.27796038634175946,adpt lasso AIC,sparse
0.04553375639141018,0.04536600958489097,0.07520916403186521,0.03849254380972661,0.15756886381863394,0.11779873233052922,0.07971021740290823,0.10190396479915126,0.27796038634175946,adpt lasso BIC,sparse
0.04553375639141018,0.04536600958489097,0.07520916403186521,0.03849254380972661,0.15756886381863394,0.11779873233052922,0.07971021740290823,0.10190396479915126,0.27796038634175946,adpt lasso LOO-CV,sparse
0.04506062971198307,0.00890268905568904,0.031993767935864524,0.031057815808704068,0.09666956606310033,0.043464945737286736,0.0760871726379553,0.0709334067744352,0.21057237883435717,ridge AIC,sparse
0.04506062971198307,0.00890268905568904,0.031993767935864524,0.031057815808704068,0.09666956606310033,0.043464945737286736,0.0760871726379553,0.0709334067744352,0.21057237883435717,ridge BIC,sparse
0.045542909293291835,0.0453662663263938,0.07521221452354877,0.03848489636132823,0.1575955857877578,0.11779162456553922,0.07967931532731938,0.10191302538497725,0.2779800447936044,ridge LOO-CV,sparse
0.04506062971198306,0.007306661118353972,0.031451379245820504,0.03553427481192318,0.10036026393575684,0.04350575956926016,0.06592920539673608,0.0717479729393302,0.08660402907680068,adpt ridge AIC,sparse
0.04506062971198306,0.007306661118353972,0.031451379245820504,0.03553427481192318,0.10036026393575684,0.04350575956926016,0.06592920539673608,0.0717479729393302,0.08660402907680068,adpt ridge BIC,sparse
0.04581741238902854,0.04545343810831785,0.07528269317194852,0.03848746465208041,0.1581084980394993,0.11773450649478186,0.0798002368429996,0.10207986910444924,0.2779946433110794,adpt ridge LOO-CV,sparse
0.09378297730566512,0.18687846200105376,0.3734859928295795,0.20929699482564917,0.34190107738930137,0.4788658082927334,0.1640436686905022,1.0496909196850137,0.3382042622240957,lasso AIC,dense
0.15662270863228536,0.286607785173546,0.4448312930705977,0.24518608000594772,0.400261677865045,0.5751463735576174,0.18806738257686006,1.0974405100830953,0.4017109061868651,lasso BIC,dense
0.08756039531878625,0.18281666733700658,0.3559967874362138,0.16030980340984208,0.2823281474649255,0.38870396672674185,0.10358370357220151,0.9640662768047059,0.20850593099834594,lasso LOO-CV,dense
0.09378297730566514,0.18687846200105376,0.3734859928295795,0.20929699482564923,0.3419010773893013,0.47886580829273334,0.1640436686905022,1.049690919685014,0.3382042622240958,adpt lasso AIC,dense
0.15662270863228536,0.28660778517354596,0.4448312930705977,0.24518608000594766,0.40026167786504496,0.5751463735576174,0.1880673825768601,1.0974405100830955,0.40171090618686506,adpt lasso BIC,dense
0.08756039531878625,0.18281666733700658,0.35599678743621377,0.1603098034098421,0.2823281474649255,0.38870396672674185,0.10358370357220151,0.9640662768047058,0.20850593099834597,adpt lasso LOO-CV,dense
0.019131701859437075,0.09264501810854474,0.2819059589916806,0.13620980602449628,0.2900315296215084,0.16414791843494672,0.08107251171361925,0.8376859889146434,0.20178038485578004,ridge AIC,dense
0.019131701859437075,0.09264501810854474,0.2819059589916806,0.13620980602449628,0.2900315296215084,0.16414791843494672,0.08107251171361925,0.8376859889146434,0.20178038485578004,ridge BIC,dense
0.08756061194893752,0.18281963890263175,0.35598539336329793,0.16029639482632901,0.28230541768336825,0.3887299842613667,0.10357762850184932,0.9639695580548581,0.20852497928243693,ridge LOO-CV,dense
0.019131701859437064,0.09340751938823846,0.29369871651285684,0.14113373605236787,0.3084374558856096,0.19709923813333646,0.07024940458461466,0.8399406596661081,0.16190271623364785,adpt ridge AIC,dense
0.019131701859437064,0.09340751938823846,0.29369871651285684,0.14113373605236787,0.3084374558856096,0.19709923813333646,0.07024940458461466,0.8399406596661081,0.16190271623364785,adpt ridge BIC,dense
0.08876189056669938,0.18374350437180864,0.3562965698520974,0.16472472704646418,0.2873932423131141,0.3896708133421924,0.11075660208208214,0.9720159808692931,0.22089850390881957,adpt ridge LOO-CV,dense
